timestamp,action,customer_id,entry_id,customer_code,first_name,last_name,date_of_birth,active_status,service_json,customer_json,note
<<<<<<< HEAD
2026-02-18T06:48:08.712338,create_customer,81,3,d4b3529e-b402-4f83-bf4e-8cd46e09874d,TEST,USER,2003-06-05,active,"{""serviceName"": ""ASS"", ""days"": 30, ""ratePerDay"": 220.65, ""amountBilled"": 6619.5, ""amountPaid"": 0.0, ""dateOfPayment"": null, ""startDate"": ""2026-02-18"", ""endDate"": ""2026-03-19"", ""dateSubmitted"": null, ""denialCodes"": null, ""comments"": null}","{""customerCode"": ""d4b3529e-b402-4f83-bf4e-8cd46e09874d"", ""firstName"": ""TEST"", ""lastName"": ""USER"", ""dateOfBirth"": ""2003-06-05"", ""activeStatus"": ""active"", ""comments"": """", ""idNumber"": ""65"", ""fIdNumber"": ""2003""}",created via API
2026-02-18T08:35:56.735297,create_customer,82,5,91ab51e7-0c7c-488b-9036-ae04d9539514,Test,user,2003-06-05,active,"{""serviceName"": ""ASS"", ""days"": 2, ""ratePerDay"": 220.65, ""amountBilled"": 441.3, ""amountPaid"": 0.0, ""dateOfPayment"": null, ""startDate"": ""2026-02-18"", ""endDate"": ""2026-02-19"", ""dateSubmitted"": null, ""denialCodes"": null, ""comments"": null}","{""customerCode"": ""91ab51e7-0c7c-488b-9036-ae04d9539514"", ""firstName"": ""Test"", ""lastName"": ""user"", ""dateOfBirth"": ""2003-06-05"", ""activeStatus"": ""active"", ""comments"": """", ""idNumber"": ""56"", ""fIdNumber"": ""2003""}",created via API
2026-02-18T08:40:28.085414,create_customer,83,6,86a75b21-4dc7-47a5-acb0-e200ace30eb8,Test,user,2026-02-25,active,"{""serviceName"": ""H0004"", ""days"": 2, ""ratePerDay"": 124.24, ""amountBilled"": 248.48, ""amountPaid"": 0.0, ""dateOfPayment"": null, ""startDate"": ""2026-02-18"", ""endDate"": ""2026-02-19"", ""dateSubmitted"": null, ""denialCodes"": null, ""comments"": null}","{""customerCode"": ""86a75b21-4dc7-47a5-acb0-e200ace30eb8"", ""firstName"": ""Test"", ""lastName"": ""user"", ""dateOfBirth"": ""2026-02-25"", ""activeStatus"": ""active"", ""comments"": """", ""idNumber"": ""56"", ""fIdNumber"": ""2003""}",created via API
2026-02-18T08:48:16.834081,create_customer,84,7,8819b4e5-d499-422f-b8d4-41b66bd2643a,tests,user,2026-02-10,active,"{""serviceName"": ""ASS"", ""days"": 2, ""ratePerDay"": 220.65, ""amountBilled"": 441.3, ""amountPaid"": 0.0, ""dateOfPayment"": null, ""startDate"": ""2026-02-18"", ""endDate"": ""2026-02-19"", ""dateSubmitted"": null, ""denialCodes"": null, ""comments"": null}","{""customerCode"": ""8819b4e5-d499-422f-b8d4-41b66bd2643a"", ""firstName"": ""tests"", ""lastName"": ""user"", ""dateOfBirth"": ""2026-02-10"", ""activeStatus"": ""active"", ""comments"": """", ""idNumber"": ""56"", ""fIdNumber"": ""2003""}",created via API
2026-02-18T08:51:48.646079,create_customer,85,8,4b30385c-0729-48e8-acbf-7bb484b36438,tests,user,2026-02-10,active,"{""serviceName"": ""ASS"", ""days"": 2, ""ratePerDay"": 220.65, ""amountBilled"": 441.3, ""amountPaid"": 0.0, ""dateOfPayment"": null, ""startDate"": ""2026-02-18"", ""endDate"": ""2026-02-19"", ""dateSubmitted"": null, ""denialCodes"": null, ""comments"": null}","{""customerCode"": ""4b30385c-0729-48e8-acbf-7bb484b36438"", ""firstName"": ""tests"", ""lastName"": ""user"", ""dateOfBirth"": ""2026-02-10"", ""activeStatus"": ""active"", ""comments"": """", ""idNumber"": ""56"", ""fIdNumber"": ""2003""}",created via API
2026-03-18T08:51:07.544859,create_customer,82,47,6fbc43a2-f8fd-49b6-8219-5d8253b99109,Test,customer2,2003-06-05,active,"{""serviceName"": ""H2036"", ""days"": 8, ""ratePerDay"": 201.99, ""amountBilled"": 1615.92, ""amountPaid"": 0.0, ""dateOfPayment"": null, ""startDate"": ""2026-03-18"", ""endDate"": ""2026-03-25"", ""dateSubmitted"": null, ""denialCodes"": null, ""comments"": null}","{""customerCode"": ""6fbc43a2-f8fd-49b6-8219-5d8253b99109"", ""firstName"": ""Test"", ""lastName"": ""customer2"", ""dateOfBirth"": ""2003-06-05"", ""activeStatus"": ""active"", ""comments"": """", ""idNumber"": ""2003"", ""fIdNumber"": ""0506""}",created via API
2026-04-21T04:11:55.503801,create_customer,110,163,8181bbe0-5f38-4710-a5ab-bd24d0262c26,Test,User,2003-06-05,active,"{""serviceName"": ""Discharge"", ""days"": 7, ""ratePerDay"": 32.38, ""amountBilled"": 226.66, ""amountPaid"": 0.0, ""dateOfPayment"": null, ""startDate"": ""2026-04-21"", ""endDate"": ""2026-04-28"", ""dateSubmitted"": null, ""denialCodes"": null, ""comments"": null}","{""customerCode"": ""8181bbe0-5f38-4710-a5ab-bd24d0262c26"", ""firstName"": ""Test"", ""lastName"": ""User"", ""dateOfBirth"": ""2003-06-05"", ""activeStatus"": ""active"", ""comments"": """", ""idNumber"": ""0506"", ""fIdNumber"": ""2003""}",created via API
=======
2025-12-15T15:45:04.066590,create_customer_test,9999,8888,T1,Test,User,2000-01-01,active,"{""serviceName"": ""Test Service""}","{""customerCode"": ""T1"", ""firstName"": ""Test"", ""lastName"": ""User"", ""dateOfBirth"": ""2000-01-01"", ""activeStatus"": ""active""}",unit test from assistant
